Belt Drive Enviolo Automatic Step Thru E Bike,https://sandiego.craigslist.org/nsd/bik/d/cardiff-by-the-sea-belt-drive-enviolo/6943982149.html,$2100,N/A,2019-08-03 12:59
2018 Niner air 9 rdo medium frame and fox fork,https://sandiego.craigslist.org/ssd/bik/d/san-diego-2018-niner-air-9-rdo-medium/6926895321.html,$1000,San Diego,2019-08-03 09:24
2018 Niner air 9 rdo medium frame and fox fork,https://sandiego.craigslist.org/ssd/bik/d/san-diego-2018-niner-air-9-rdo-medium/6935699247.html,$1000,San Diego,2019-08-03 09:24
Trek 4900 Alpha Mountain Bike,https://sandiego.craigslist.org/nsd/bik/d/san-diego-trek-4900-alpha-mountain-bike/6929731974.html,$395,Rancho Bernardo,2019-08-03 06:54
Independent fabrication crown jewel 56cm Dura Ace Chris King,https://sandiego.craigslist.org/csd/bik/d/spring-valley-independent-fabrication/6926794819.html,$1450,spring valley,2019-08-03 05:07
LOOK KX ROAD BIKE,https://sandiego.craigslist.org/csd/bik/d/san-diego-look-kx-road-bike/6929656306.html,$1100,SAN DIEGO,2019-08-02 22:44
"2015 BMC Carbon Fiber Road Racer SL01, Di2 Compact DuraAce, 51cm",https://sandiego.craigslist.org/csd/bik/d/san-diego-2015-bmc-carbon-fiber-road/6942516037.html,$2500,N/A,2019-08-02 22:36
"2014 Trek Madone 6.5 OCLV, 11speed H2 compact ultegra, 15lbs, 50cm",https://sandiego.craigslist.org/csd/bik/d/san-diego-2014-trek-madone-65-oclv/6942516246.html,$1800,N/A,2019-08-02 22:36
"2014 Trek Madone 6.5 OCLV, 11speed H2 compact ultegra, 15lbs, 50cm",https://sandiego.craigslist.org/csd/bik/d/san-diego-2014-trek-madone-65-oclv/6942516387.html,$1800,N/A,2019-08-02 22:36
"2015 BMC Carbon Fiber Road Racer SL01, Di2 Compact DuraAce, 51cm",https://sandiego.craigslist.org/csd/bik/d/san-diego-2015-bmc-carbon-fiber-road/6943561653.html,$2500,N/A,2019-08-02 22:36
Nukeproof Scout 27.5 M,https://sandiego.craigslist.org/ssd/bik/d/chula-vista-nukeproof-scout-275/6948284558.html,$1000,Eastlake,2019-08-02 16:51
Euro-Asia Imports BareKnuckle Track Frameset,https://sandiego.craigslist.org/csd/bik/d/san-diego-euro-asia-imports-bareknuckle/6926206930.html,$400,San Diego,2019-08-02 11:23
Complete LDG fixed gear / single speed!,https://sandiego.craigslist.org/csd/bik/d/san-diego-complete-ldg-fixed-gear/6944900364.html,$330,San Diego,2019-08-02 11:23
2017 Motobecane Sprint CF Pro Road Bike - 52cm,https://sandiego.craigslist.org/csd/bik/d/san-diego-2017-motobecane-sprint-cf-pro/6947947974.html,$900,Clairemont,2019-08-02 10:12
2013 Trek Superfly AL Hardtail 29er - Medium,https://sandiego.craigslist.org/csd/bik/d/san-diego-2013-trek-superfly-al/6936363949.html,$900,Clairemont,2019-08-02 10:05
2017 Trek Fuel EX8 29 Mountain Bike,https://sandiego.craigslist.org/nsd/bik/d/rancho-santa-fe-2017-trek-fuel-ex8-29/6935071289.html,$2300,Poway,2019-08-02 06:18
"Cannondale F700 Hybrid bike, hydraulic disc brakes, Large frame 18"".",https://sandiego.craigslist.org/nsd/bik/d/escondido-cannondale-f700-hybrid-bike/6927820470.html,$600,Escondido,2019-08-01 21:06
Raleigh Mesika 3.0 7-Speeds internal hub carbon belt drivetrain,https://sandiego.craigslist.org/nsd/bik/d/escondido-raleigh-mesika-30-7-speeds/6940972153.html,$300,Escondido,2019-08-01 21:00
Kalkhoff i8 City e-bike,https://sandiego.craigslist.org/nsd/bik/d/carlsbad-kalkhoff-i8-city-bike/6940032794.html,$2500,Carlsbad,2019-08-01 18:53
Giant 29er bike,https://sandiego.craigslist.org/nsd/bik/d/san-marcos-giant-29er-bike/6947516527.html,$350,N/A,2019-08-01 16:43
Cannondale R900 Si Ultegra + Mavic Ksyrium Wheels Road Bike Size 52 cm,https://sandiego.craigslist.org/csd/bik/d/san-diego-cannondale-r900-si-ultegra/6945346627.html,$395,Poway,2019-08-01 13:47
Fuji Cross Disc Cyclocross Gravel Road Bike Size 58 cm (L),https://sandiego.craigslist.org/csd/bik/d/san-diego-fuji-cross-disc-cyclocross/6945350591.html,$380,Poway,2019-08-01 13:47
2017 Fuji Finest 1.3 Disc Women's Road Bike Size 47 cm - VERY CLEAN,https://sandiego.craigslist.org/csd/bik/d/san-diego-2017-fuji-finest-13-disc/6945359534.html,$495,Poway,2019-08-01 13:47
2017 Cannondale SuperSix EVO 105 Carbon Fiber Road Bike Size 56 - NEW,https://sandiego.craigslist.org/csd/bik/d/san-diego-2017-cannondale-supersix-evo/6945364500.html,$1395,San Diego,2019-08-01 13:47
Trek 29er bike - hydraulic brakes,https://sandiego.craigslist.org/nsd/bik/d/san-marcos-trek-29er-bike-hydraulic/6947256569.html,$325,N/A,2019-08-01 11:25
Cannondale Super Six Evo Hi-Mod,https://sandiego.craigslist.org/csd/bik/d/san-diego-cannondale-super-six-evo-hi/6946939447.html,$2500,La Jolla,2019-08-01 00:39
Flash V1 Ebike,https://sandiego.craigslist.org/ssd/bik/d/chula-vista-flash-v1-ebike/6946920349.html,$1950,Chula Vista,2019-07-31 22:23
"51cm Cannondale Black Inc Tri Bike, Electronic Ultegra DI2 $8,500 MSRP",https://sandiego.craigslist.org/csd/bik/d/san-diego-51cm-cannondale-black-inc-tri/6946732743.html,$1750,San Diego,2019-07-31 15:23
2017 KHS downhill 650 pro large,https://sandiego.craigslist.org/nsd/bik/d/encinitas-2017-khs-downhill-650-pro/6946613231.html,$1599,N/A,2019-07-31 12:51
Cannondale caad9 52cm ultegra,https://sandiego.craigslist.org/esd/bik/d/alpine-cannondale-caad9-52cm-ultegra/6933410142.html,$650,Alpine,2019-07-30 19:38
Aventon mataro track bike size 52cm,https://sandiego.craigslist.org/esd/bik/d/alpine-aventon-mataro-track-bike-size/6937343836.html,$400,Alpine,2019-07-30 19:37
Scott CR1 Elite Carbon Fiber Road Bike 47cm,https://sandiego.craigslist.org/nsd/bik/d/del-mar-scott-cr1-elite-carbon-fiber/6946061939.html,$900,"Del Mar, CA",2019-07-30 17:40
"XXXL SMOOTH ENDURANCE STEEL ROAD BIKE f 6' 4"" and up!  Reg $1799.00",https://sandiego.craigslist.org/nsd/bik/d/fallbrook-xxxl-smooth-endurance-steel/6946030561.html,$1249,Fallbrook,2019-07-30 17:23
Large Suspension Fork Mountain Bike Aluminum w  Disc Brakes,https://sandiego.craigslist.org/nsd/bik/d/fallbrook-large-suspension-fork/6946029659.html,$369,Fallbrook,2019-07-30 16:44
48 cm road bike,https://sandiego.craigslist.org/ssd/bik/d/national-city-48-cm-road-bike/6945994327.html,$350,National City,2019-07-30 15:49
"KHS 4 Season 300 SNOW Fat Tire Mountain Bike, Snow, Beach, Trail",https://sandiego.craigslist.org/nsd/bik/d/fallbrook-khs-4-season-300-snow-fat/6945860432.html,$549,Fallbrook,2019-07-30 15:01
"Step Through Easy Riding, Electra Inspired Manhattan Smoothie Cruiser!",https://sandiego.craigslist.org/nsd/bik/d/fallbrook-step-through-easy-riding/6945864699.html,$389,Fallbrook,2019-07-30 14:54
"KHS 4 Season 300 SNOW Fat Tire Mountain Bike, Snow, Beach, Trail",https://sandiego.craigslist.org/nsd/bik/d/fallbrook-khs-4-season-300-snow-fat/6945864144.html,$549,Fallbrook,2019-07-30 14:25
"XXL KHS FLITE 747 TALL Man ROAD BIKE f 6' 4"" and up!  Reg $1699.00",https://sandiego.craigslist.org/nsd/bik/d/fallbrook-xxl-khs-flite-747-tall-man/6945865000.html,$1249,Fallbrook,2019-07-30 13:53
"LikeNew FOCUS Cayo EVO 2.0 road, Ultegra Di2 Electronic Shifting, 54cm",https://sandiego.craigslist.org/csd/bik/d/san-diego-likenew-focus-cayo-evo-20/6945877826.html,$1500,Pacific Beach,2019-07-30 13:48
Cannondale EVO Super Six carbon frame road bike,https://sandiego.craigslist.org/nsd/bik/d/encinitas-cannondale-evo-super-six/6945791639.html,$1450,Encinitas,2019-07-30 11:48
Felt Z85 2015 Frame: 56cm,https://sandiego.craigslist.org/csd/bik/d/la-jolla-felt-z-frame-56cm/6945744779.html,$600,LA JOLLA,2019-07-30 11:01
